,xPos,yPos,zPos,Energy,Efficiency
0,1163.14,902.24,223.015,1.3325,7.1e-07
1,1163.14,902.24,223.015,1.3325,1.31e-06
2,1163.14,902.24,223.015,1.3325,6.1e-07
3,1163.14,902.24,223.015,1.3325,6.6e-07
4,1163.14,902.24,223.015,1.3325,6.1e-07
5,1163.14,902.24,223.015,1.3325,1.44e-06
6,1163.14,902.24,223.015,1.3325,5.4e-07
7,1163.14,902.24,223.015,1.3325,1.455e-06
8,1163.14,902.24,223.015,1.3325,5.85e-07
9,1163.14,902.24,223.015,1.3325,1.75e-06
10,1163.14,902.24,223.015,1.3325,5.45e-07
11,1163.14,902.24,223.015,1.3325,1.76e-06
12,1163.14,902.24,223.015,1.3325,5.8e-07
13,1163.14,902.24,223.015,1.3325,1.925e-06
14,1163.14,902.24,223.015,1.3325,5.25e-07
15,1163.14,902.24,223.015,1.3325,2.12e-06
16,1163.14,902.24,223.015,1.3325,5.6e-07
17,1163.14,902.24,223.015,1.3325,2.14e-06
18,1163.14,902.24,223.015,1.3325,5.95e-07
19,1163.14,902.24,223.015,1.3325,2.335e-06
20,1163.14,902.24,223.015,1.3325,6.1e-07
21,1163.14,902.24,223.015,1.3325,2.515e-06
22,1163.14,902.24,223.015,1.3325,6.15e-07
23,1163.14,902.24,223.015,1.3325,2.725e-06
24,1163.14,902.24,223.015,1.3325,6e-07
25,1163.14,902.24,223.015,1.3325,7.25e-07
26,1163.14,902.24,223.015,1.3325,5.9e-07
27,1163.14,902.24,223.015,1.3325,2.685e-06
28,1163.14,902.24,223.015,1.3325,6.6e-07
29,1163.14,902.24,223.015,1.3325,2.805e-06
30,1163.14,902.24,223.015,1.3325,6.4e-07
31,1163.14,902.24,223.015,1.3325,2.81e-06
32,1163.14,902.24,223.015,1.3325,5.8e-07
33,1163.14,902.24,223.015,1.3325,2.96e-06
34,1163.14,902.24,223.015,1.3325,6.25e-07
35,1163.14,902.24,223.015,1.3325,3.03e-06
36,1163.14,902.24,223.015,1.3325,6.3e-07
37,1163.14,902.24,223.015,1.3325,3.12e-06
38,1163.14,902.24,223.015,1.3325,6.05e-07
39,1163.14,902.24,223.015,1.3325,3.515e-06
40,1163.14,902.24,223.015,1.3325,7.1e-07
41,1163.14,902.24,223.015,1.3325,3.82e-06
42,1163.14,902.24,223.015,1.3325,6.05e-07
43,1163.14,902.24,223.015,1.3325,4.025e-06
44,1163.14,902.24,223.015,1.3325,6.35e-07
45,1163.14,902.24,223.015,1.3325,4.115e-06
46,1163.14,902.24,223.015,1.3325,5.55e-07
47,1163.14,902.24,223.015,1.3325,6.7e-07
48,1163.14,902.24,223.015,1.3325,5.45e-07
49,1163.14,902.24,223.015,1.3325,7.6e-07
50,1163.14,902.24,223.015,1.3325,5.55e-07
51,1163.14,902.24,223.015,1.3325,9.05e-07
52,1163.14,902.24,223.015,1.3325,5.95e-07
53,1163.14,902.24,223.015,1.3325,9.1e-07
54,1163.14,902.24,223.015,1.3325,5.3e-07
55,1163.14,902.24,223.015,1.3325,1.02e-06
56,1163.14,902.24,223.015,1.3325,5.65e-07
57,1163.14,902.24,223.015,1.3325,1.16e-06
58,1163.14,902.24,223.015,1.3325,4.8e-07
59,1163.14,902.24,223.015,1.3325,1.175e-06
60,1163.14,902.24,223.015,1.3325,5.3e-07
